,Country,Country code,Job,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand
70,INDIA,IN,Design_Architect,"₹361,159",₹159k , ₹1m.,"Bangalore, Karnataka",+36%,51.3%,48.5%,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']"
71,INDIA,IN,Design_Architect,"₹361,159",₹159k , ₹1m.,"Pune, Maharashtra",+15%,51.3%,48.5%,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']"
72,INDIA,IN,Design_Architect,"₹361,159",₹159k , ₹1m.,"Delhi, Delhi",+15%,51.3%,48.5%,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']"
73,INDIA,IN,Design_Architect,"₹361,159",₹159k , ₹1m.,"New Delhi, Delhi",+10%,51.3%,48.5%,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']"
74,INDIA,IN,Design_Architect,"₹361,159",₹159k , ₹1m.,"Mumbai, Maharashtra",+1%,51.3%,48.5%,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']"
75,INDIA,IN,Design_Architect,"₹361,159",₹159k , ₹1m.,"Hyderabad, Andhra Pradesh",-14%,51.3%,48.5%,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']"
76,INDIA,IN,Design_Architect,"₹361,159",₹159k , ₹1m.,"Chennai, Tamil Nadu",-17%,51.3%,48.5%,"['Adobe InDesign', 'Microsoft Word', 'Graphic Design', 'Microsoft Office', 'Design', 'Autodesk 3ds Max', 'Autodesk AutoCAD', 'Adobe Photoshop', '3D Rendering', 'SketchUp']"
77,INDIA,IN,Environmental_Engineer,"₹446,005",₹178k , ₹982k.,"Bangalore, Karnataka",+32%,81%,19%,"['Data Analysis', 'Project Management', 'Environmental Consulting', 'Microsoft Excel', 'Environmental Compliance', 'Engineering Design', 'Microsoft Office', 'Regulatory Compliance']"
78,INDIA,IN,Environmental_Engineer,"₹446,005",₹178k , ₹982k.,"Pune, Maharashtra",+30%,81%,19%,"['Data Analysis', 'Project Management', 'Environmental Consulting', 'Microsoft Excel', 'Environmental Compliance', 'Engineering Design', 'Microsoft Office', 'Regulatory Compliance']"
79,INDIA,IN,Environmental_Engineer,"₹446,005",₹178k , ₹982k.,"New Delhi, Delhi",+17%,81%,19%,"['Data Analysis', 'Project Management', 'Environmental Consulting', 'Microsoft Excel', 'Environmental Compliance', 'Engineering Design', 'Microsoft Office', 'Regulatory Compliance']"
80,INDIA,IN,Environmental_Engineer,"₹446,005",₹178k , ₹982k.,"Mumbai, Maharashtra",+3%,81%,19%,"['Data Analysis', 'Project Management', 'Environmental Consulting', 'Microsoft Excel', 'Environmental Compliance', 'Engineering Design', 'Microsoft Office', 'Regulatory Compliance']"
81,INDIA,IN,Environmental_Engineer,"₹446,005",₹178k , ₹982k.,"Ahmedabad, Gujarat",-19%,81%,19%,"['Data Analysis', 'Project Management', 'Environmental Consulting', 'Microsoft Excel', 'Environmental Compliance', 'Engineering Design', 'Microsoft Office', 'Regulatory Compliance']"
82,INDIA,IN,Environmental_Engineer,"₹446,005",₹178k , ₹982k.,"Delhi, Delhi",-28%,81%,19%,"['Data Analysis', 'Project Management', 'Environmental Consulting', 'Microsoft Excel', 'Environmental Compliance', 'Engineering Design', 'Microsoft Office', 'Regulatory Compliance']"
83,INDIA,IN,Environmental_Engineer,"₹446,005",₹178k , ₹982k.,"Chennai, Tamil Nadu",-40%,81%,19%,"['Data Analysis', 'Project Management', 'Environmental Consulting', 'Microsoft Excel', 'Environmental Compliance', 'Engineering Design', 'Microsoft Office', 'Regulatory Compliance']"
84,INDIA,IN,Professor%2C_Postsecondary_%2F_Higher_Education,"₹1,007,464",₹242k , ₹3m.,"New Delhi, Delhi",+143%,63%,37%,"['Research Analysis', 'Clinical Research', 'Curriculum Planning', 'Administration', 'Course Design', 'Writing Procedures & Documentation', 'Oral / Verbal Communication']"
85,INDIA,IN,Professor%2C_Postsecondary_%2F_Higher_Education,"₹1,007,464",₹242k , ₹3m.,"Chennai, Tamil Nadu",+67%,63%,37%,"['Research Analysis', 'Clinical Research', 'Curriculum Planning', 'Administration', 'Course Design', 'Writing Procedures & Documentation', 'Oral / Verbal Communication']"
86,INDIA,IN,Professor%2C_Postsecondary_%2F_Higher_Education,"₹1,007,464",₹242k , ₹3m.,"Pune, Maharashtra",+39%,63%,37%,"['Research Analysis', 'Clinical Research', 'Curriculum Planning', 'Administration', 'Course Design', 'Writing Procedures & Documentation', 'Oral / Verbal Communication']"
