,Country,Country code,Job,Currency Notation,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand,convert,Avg. salary (USD),Max. salary (USD),Min. salary (USD)
27,INDIA,IN,Primary_School_Teacher,₹,239512.0,100000.0,506000.0,"Chennai, Tamil Nadu",-14%,11.8%,88.2%,"['Curriculum Planning', 'Material Science', 'English Language', 'Oral / Verbal Communication', 'Team Leadership', 'Activities for Children', 'Leadership', 'Childhood Education', 'Mathematica', 'Hindi Language']",0.014,3353.168,7084.0,1400.0
28,INDIA,IN,Secondary_School_Teacher,₹,347010.0,126000.0,712000.0,"New Delhi, Delhi",+22%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014,4858.14,9968.0,1764.0
29,INDIA,IN,Secondary_School_Teacher,₹,347010.0,126000.0,712000.0,"Mumbai, Maharashtra",+13%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014,4858.14,9968.0,1764.0
30,INDIA,IN,Secondary_School_Teacher,₹,347010.0,126000.0,712000.0,"Bangalore, Karnataka",+6%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014,4858.14,9968.0,1764.0
31,INDIA,IN,Secondary_School_Teacher,₹,347010.0,126000.0,712000.0,"Pune, Maharashtra",-11%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014,4858.14,9968.0,1764.0
32,INDIA,IN,Secondary_School_Teacher,₹,347010.0,126000.0,712000.0,"Chennai, Tamil Nadu",-11%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014,4858.14,9968.0,1764.0
33,INDIA,IN,Secondary_School_Teacher,₹,347010.0,126000.0,712000.0,"Kolkata, West Bengal",-12%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014,4858.14,9968.0,1764.0
34,INDIA,IN,Secondary_School_Teacher,₹,347010.0,126000.0,712000.0,"Hyderabad, Andhra Pradesh",-29%,31.2%,68.8%,"['People Management', 'Curriculum Planning', 'Subject Matter Expert', 'English Language', 'Team Leadership', 'Oral / Verbal Communication', 'French Language', 'Mathematica', 'Microsoft Office', 'Hindi Language']",0.014,4858.14,9968.0,1764.0
35,INDIA,IN,High_School_Teacher,₹,303063.0,119000.0,665000.0,"New Delhi, Delhi",+48%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']",0.014,4242.8820000000005,9310.0,1666.0
36,INDIA,IN,High_School_Teacher,₹,303063.0,119000.0,665000.0,"Mumbai, Maharashtra",+31%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']",0.014,4242.8820000000005,9310.0,1666.0
37,INDIA,IN,High_School_Teacher,₹,303063.0,119000.0,665000.0,"Kolkata, West Bengal",+6%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']",0.014,4242.8820000000005,9310.0,1666.0
38,INDIA,IN,High_School_Teacher,₹,303063.0,119000.0,665000.0,"Bangalore, Karnataka",-0%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']",0.014,4242.8820000000005,9310.0,1666.0
39,INDIA,IN,High_School_Teacher,₹,303063.0,119000.0,665000.0,"Pune, Maharashtra",-1%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']",0.014,4242.8820000000005,9310.0,1666.0
40,INDIA,IN,High_School_Teacher,₹,303063.0,119000.0,665000.0,"Chennai, Tamil Nadu",-2%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']",0.014,4242.8820000000005,9310.0,1666.0
41,INDIA,IN,High_School_Teacher,₹,303063.0,119000.0,665000.0,"Hyderabad, Andhra Pradesh",-14%,41.8%,57.8%,"['Leadership', 'Team Leadership', 'Curriculum Planning', 'Oral / Verbal Communication', 'English Language', 'Mathematica', 'Microsoft Office', 'Counseling', 'Hindi Language', 'Material Science']",0.014,4242.8820000000005,9310.0,1666.0
42,INDIA,IN,Accountant,₹,249284.0,123000.0,507000.0,"Bangalore, Karnataka",+19%,79.7%,20.2%,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']",0.014,3489.976,7098.0,1722.0
