,Country,Country code,Job,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand,convert
706,UNITED STATES,US,iOS_Developer,87139,$59k , $130k.,"San Francisco, California",+37%,85.7%,13.8%,"['Objective-C', 'Swift Programming Language', 'iOS', 'iOS SDK', 'Mobile applications development', 'Apple Xcode IDE', 'Android Operating System Development', 'Software Development', 'Object Oriented Programming (OOP)', 'C# Programming Language']",1.0
707,UNITED STATES,US,iOS_Developer,87139,$59k , $130k.,"Boston, Massachusetts",+9%,85.7%,13.8%,"['Objective-C', 'Swift Programming Language', 'iOS', 'iOS SDK', 'Mobile applications development', 'Apple Xcode IDE', 'Android Operating System Development', 'Software Development', 'Object Oriented Programming (OOP)', 'C# Programming Language']",1.0
708,UNITED STATES,US,iOS_Developer,87139,$59k , $130k.,"Los Angeles, California",+9%,85.7%,13.8%,"['Objective-C', 'Swift Programming Language', 'iOS', 'iOS SDK', 'Mobile applications development', 'Apple Xcode IDE', 'Android Operating System Development', 'Software Development', 'Object Oriented Programming (OOP)', 'C# Programming Language']",1.0
709,UNITED STATES,US,iOS_Developer,87139,$59k , $130k.,"New York, New York",+7%,85.7%,13.8%,"['Objective-C', 'Swift Programming Language', 'iOS', 'iOS SDK', 'Mobile applications development', 'Apple Xcode IDE', 'Android Operating System Development', 'Software Development', 'Object Oriented Programming (OOP)', 'C# Programming Language']",1.0
710,UNITED STATES,US,iOS_Developer,87139,$59k , $130k.,"Chicago, Illinois",+2%,85.7%,13.8%,"['Objective-C', 'Swift Programming Language', 'iOS', 'iOS SDK', 'Mobile applications development', 'Apple Xcode IDE', 'Android Operating System Development', 'Software Development', 'Object Oriented Programming (OOP)', 'C# Programming Language']",1.0
711,UNITED STATES,US,iOS_Developer,87139,$59k , $130k.,"Dallas, Texas",-8%,85.7%,13.8%,"['Objective-C', 'Swift Programming Language', 'iOS', 'iOS SDK', 'Mobile applications development', 'Apple Xcode IDE', 'Android Operating System Development', 'Software Development', 'Object Oriented Programming (OOP)', 'C# Programming Language']",1.0
712,UNITED STATES,US,iOS_Developer,87139,$59k , $130k.,"Atlanta, Georgia",-13%,85.7%,13.8%,"['Objective-C', 'Swift Programming Language', 'iOS', 'iOS SDK', 'Mobile applications development', 'Apple Xcode IDE', 'Android Operating System Development', 'Software Development', 'Object Oriented Programming (OOP)', 'C# Programming Language']",1.0
713,UNITED STATES,US,Cyber_Security_Analyst,76173,$52k , $116k.,"New York, New York",+16%,81.7%,17.6%,"['Security Testing and Auditing', 'Security Risk Management', 'Risk Management / Risk Control', 'Security Intrusion Detection', 'Security Policies and Procedures', 'Vulnerability Assessment', 'Security Information and Event Management (SIEM)', 'Computer Security', 'IT Security & Infrastructure', 'Data Analysis']",1.0
714,UNITED STATES,US,Cyber_Security_Analyst,76173,$52k , $116k.,"Washington, District of Columbia",+11%,81.7%,17.6%,"['Security Testing and Auditing', 'Security Risk Management', 'Risk Management / Risk Control', 'Security Intrusion Detection', 'Security Policies and Procedures', 'Vulnerability Assessment', 'Security Information and Event Management (SIEM)', 'Computer Security', 'IT Security & Infrastructure', 'Data Analysis']",1.0
715,UNITED STATES,US,Cyber_Security_Analyst,76173,$52k , $116k.,"Huntsville, Alabama",+7%,81.7%,17.6%,"['Security Testing and Auditing', 'Security Risk Management', 'Risk Management / Risk Control', 'Security Intrusion Detection', 'Security Policies and Procedures', 'Vulnerability Assessment', 'Security Information and Event Management (SIEM)', 'Computer Security', 'IT Security & Infrastructure', 'Data Analysis']",1.0
716,UNITED STATES,US,Cyber_Security_Analyst,76173,$52k , $116k.,"San Diego, California",+3%,81.7%,17.6%,"['Security Testing and Auditing', 'Security Risk Management', 'Risk Management / Risk Control', 'Security Intrusion Detection', 'Security Policies and Procedures', 'Vulnerability Assessment', 'Security Information and Event Management (SIEM)', 'Computer Security', 'IT Security & Infrastructure', 'Data Analysis']",1.0
717,UNITED STATES,US,Cyber_Security_Analyst,76173,$52k , $116k.,"Tampa, Florida",-2%,81.7%,17.6%,"['Security Testing and Auditing', 'Security Risk Management', 'Risk Management / Risk Control', 'Security Intrusion Detection', 'Security Policies and Procedures', 'Vulnerability Assessment', 'Security Information and Event Management (SIEM)', 'Computer Security', 'IT Security & Infrastructure', 'Data Analysis']",1.0
718,UNITED STATES,US,Cyber_Security_Analyst,76173,$52k , $116k.,"Dallas, Texas",-6%,81.7%,17.6%,"['Security Testing and Auditing', 'Security Risk Management', 'Risk Management / Risk Control', 'Security Intrusion Detection', 'Security Policies and Procedures', 'Vulnerability Assessment', 'Security Information and Event Management (SIEM)', 'Computer Security', 'IT Security & Infrastructure', 'Data Analysis']",1.0
719,UNITED STATES,US,Cyber_Security_Analyst,76173,$52k , $116k.,"San Antonio, Texas",-9%,81.7%,17.6%,"['Security Testing and Auditing', 'Security Risk Management', 'Risk Management / Risk Control', 'Security Intrusion Detection', 'Security Policies and Procedures', 'Vulnerability Assessment', 'Security Information and Event Management (SIEM)', 'Computer Security', 'IT Security & Infrastructure', 'Data Analysis']",1.0
720,UNITED STATES,US,Application_Developer,69702,$50k , $100k.,"Seattle, Washington",+34%,78.8%,20.7%,"['Oracle', 'Python', 'JavaScript', 'SQL', 'Microsoft SQL Server', 'jQuery', '.NET', 'C# Programming Language', 'ASP.NET Framework', 'HTML']",1.0
721,UNITED STATES,US,Application_Developer,69702,$50k , $100k.,"New York, New York",+21%,78.8%,20.7%,"['Oracle', 'Python', 'JavaScript', 'SQL', 'Microsoft SQL Server', 'jQuery', '.NET', 'C# Programming Language', 'ASP.NET Framework', 'HTML']",1.0
722,UNITED STATES,US,Application_Developer,69702,$50k , $100k.,"Chicago, Illinois",+8%,78.8%,20.7%,"['Oracle', 'Python', 'JavaScript', 'SQL', 'Microsoft SQL Server', 'jQuery', '.NET', 'C# Programming Language', 'ASP.NET Framework', 'HTML']",1.0
