,Country,Country code,Job,Currency Notation,Avg. salary,Min. salary,Max. salary,Cities,Variation,Male percent,Female percent,Skills in demand,convert,Avg. salary (USD),Max. salary (USD),Min. salary (USD),Cost of living pm
46,INDIA,IN,Accountant,₹,249284.0,123000.0,507000.0,"Delhi, Delhi",1.0,79.7,20.2,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']",0.014,3489.976,7098.0,1722.0,27215.8
47,INDIA,IN,Accountant,₹,249284.0,123000.0,507000.0,"Pune, Maharashtra",-2.0,79.7,20.2,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']",0.014,3489.976,7098.0,1722.0,24736.68
48,INDIA,IN,Accountant,₹,249284.0,123000.0,507000.0,"Kolkata, West Bengal",-8.0,79.7,20.2,"['Account Management', 'Tax Compliance', 'Accounts Payable', 'Financial Reporting', 'Microsoft Office', 'Accounts Receivable', 'Tax Preparation', 'Enterprise Resource Planning (ERP)', 'Bookkeeping', 'Microsoft Excel']",0.014,3489.976,7098.0,1722.0,24500.09
49,INDIA,IN,Finance Manager,₹,993805.0,352000.0,2000000.0,"Bangalore, Karnataka",24.0,79.8,20.1,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0,26220.74
50,INDIA,IN,Finance Manager,₹,993805.0,352000.0,2000000.0,"Chennai, Tamil Nadu",10.0,79.8,20.1,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0,24516.72
51,INDIA,IN,Finance Manager,₹,993805.0,352000.0,2000000.0,"Mumbai, Maharashtra",8.0,79.8,20.1,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0,28405.58
52,INDIA,IN,Finance Manager,₹,993805.0,352000.0,2000000.0,"Pune, Maharashtra",2.0,79.8,20.1,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0,24736.68
53,INDIA,IN,Finance Manager,₹,993805.0,352000.0,2000000.0,"New Delhi, Delhi",0.0,79.8,20.1,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0,27215.8
54,INDIA,IN,Finance Manager,₹,993805.0,352000.0,2000000.0,"Hyderabad, Andhra Pradesh",0.0,79.8,20.1,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0,24588.3
55,INDIA,IN,Finance Manager,₹,993805.0,352000.0,2000000.0,"Delhi, Delhi",-4.0,79.8,20.1,"['Financial Modeling', 'Forecasting', 'Budgeting', 'Tax Compliance', 'Financial Reporting', 'Financial Analysis', 'Accounting', 'Account Management', 'Microsoft Excel', 'Microsoft Office']",0.014,13913.27,28000.0,4928.0,27215.8
56,INDIA,IN,Chartered Accountant,₹,788523.0,412000.0,2000000.0,"Bangalore, Karnataka",17.0,72.7,27.3,"['Budget Management', 'Evaluation and Management Auditing', 'Financial Analysis', 'Financial Advisor', 'Financial Reporting', 'Tax Consulting', 'Account Management', 'Internal Audit', 'Tax Compliance', 'Auditing']",0.014,11039.322,28000.0,5768.0,26220.74
